GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
jpacman-framework,nl.tudelft.jpacman.game,GameFactory,3,14,0,0,1,4,1,2,1,2
jpacman-framework,nl.tudelft.jpacman.game,Game,39,44,7,3,15,13,9,3,4,3
jpacman-framework,nl.tudelft.jpacman.game,SinglePlayerGame,8,27,2,2,0,10,2,4,0,4
jpacman-framework,nl.tudelft.jpacman.npc,Ghost,2,85,1,5,1,16,1,7,0,5
jpacman-framework,nl.tudelft.jpacman.sprite,EmptySprite,9,3,0,0,4,1,4,1,4,1
jpacman-framework,nl.tudelft.jpacman.sprite,AnimatedSprite,65,110,11,7,13,30,12,8,4,7
jpacman-framework,nl.tudelft.jpacman.sprite,PacManSprites,18,129,1,3,2,23,1,11,0,10
jpacman-framework,nl.tudelft.jpacman.sprite,SpriteStore,22,85,3,7,1,21,3,7,0,5
jpacman-framework,nl.tudelft.jpacman.sprite,ImageSprite,5,117,6,6,1,16,6,7,0,7
jpacman-framework,nl.tudelft.jpacman,Launcher,62,139,5,1,14,32,7,17,4,17
jpacman-framework,nl.tudelft.jpacman,PacmanConfigurationException,9,0,0,0,4,0,2,0,2,0
jpacman-framework,nl.tudelft.jpacman.ui,ScorePanel,17,126,4,8,4,23,4,7,1,4
jpacman-framework,nl.tudelft.jpacman.ui,PacManUiBuilder,55,102,12,6,7,26,11,7,2,7
jpacman-framework,nl.tudelft.jpacman.ui,PacManUI,16,91,4,4,1,26,4,4,0,4
jpacman-framework,nl.tudelft.jpacman.ui,BoardPanel,8,141,2,8,0,30,2,8,0,5
jpacman-framework,nl.tudelft.jpacman.ui,PacKeyListener,26,10,5,1,7,5,6,2,3,2
jpacman-framework,nl.tudelft.jpacman.ui,ButtonPanel,17,37,2,4,3,10,3,3,1,2
jpacman-framework,nl.tudelft.jpacman.board,Square,22,85,7,9,1,22,7,9,0,8
jpacman-framework,nl.tudelft.jpacman.board,Direction,0,69,0,0,0,11,0,4,0,4
jpacman-framework,nl.tudelft.jpacman.board,Board,21,94,9,13,1,17,9,9,0,7
jpacman-framework,nl.tudelft.jpacman.board,BoardFactory.Wall,0,11,0,0,0,5,0,3,0,3
jpacman-framework,nl.tudelft.jpacman.board,Unit,37,83,11,11,5,24,10,11,1,9
jpacman-framework,nl.tudelft.jpacman.board,BoardFactory.Ground,0,11,0,0,0,5,0,3,0,3
jpacman-framework,nl.tudelft.jpacman.board,BoardFactory,4,101,1,7,0,19,1,8,0,5
jpacman-framework,nl.tudelft.jpacman.level,LevelFactory,8,63,1,4,1,15,1,7,0,4
jpacman-framework,nl.tudelft.jpacman.level,CollisionInteractionMap.InverseCollisionHandler,12,0,0,0,5,0,2,0,2,0
jpacman-framework,nl.tudelft.jpacman.level,CollisionInteractionMap,178,0,24,0,46,0,19,0,7,0
jpacman-framework,nl.tudelft.jpacman.level,MapParser,55,271,6,22,7,62,7,19,1,9
jpacman-framework,nl.tudelft.jpacman.level,PlayerFactory,0,19,0,0,0,5,0,3,0,3
jpacman-framework,nl.tudelft.jpacman.level,Level,126,308,27,31,26,79,25,19,3,12
jpacman-framework,nl.tudelft.jpacman.level,Pellet,3,12,0,0,1,5,1,2,1,2
jpacman-framework,nl.tudelft.jpacman.level,DefaultPlayerInteractionMap,39,0,0,0,12,0,5,0,5,0
jpacman-framework,nl.tudelft.jpacman.level,Level.NpcMoveTask,0,36,1,1,0,10,1,2,0,2
jpacman-framework,nl.tudelft.jpacman.level,PlayerCollisions,56,20,11,3,17,7,11,3,4,3
jpacman-framework,nl.tudelft.jpacman.level,Player,25,35,5,1,9,11,5,4,2,4
jpacman-framework,nl.tudelft.jpacman.level,LevelFactory.RandomGhost,8,0,0,0,3,0,2,0,2,0
jpacman-framework,nl.tudelft.jpacman.npc.ghost,Inky,12,84,6,10,2,21,6,6,0,4
jpacman-framework,nl.tudelft.jpacman.npc.ghost,Pinky,12,43,5,5,2,11,5,3,0,3
jpacman-framework,nl.tudelft.jpacman.npc.ghost,GhostFactory,0,38,0,0,0,7,0,5,0,5
jpacman-framework,nl.tudelft.jpacman.npc.ghost,GhostColor,0,44,0,0,0,5,0,1,0,1
jpacman-framework,nl.tudelft.jpacman.npc.ghost,Navigation.Node,3,36,0,2,1,12,1,5,1,4
jpacman-framework,nl.tudelft.jpacman.npc.ghost,Blinky,12,42,5,5,2,11,5,3,0,3
jpacman-framework,nl.tudelft.jpacman.npc.ghost,Clyde,18,73,6,6,3,18,6,3,0,3
jpacman-framework,nl.tudelft.jpacman.npc.ghost,Navigation,43,186,10,28,8,41,8,17,1,5
